,screen_name,idx,clean_text,selection,binaryLabel,rq,cluster_labels,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,m0_anger,m0_happiness,m0_calm,m1_disgust,m1_sadness,m1_surprise,dpfc_angry,dpfc_disgust,dpfc_fear,dpfc_happy,dpfc_sad,dpfc_surprise,dpfc_neutral
24312,opednews,24312,MSNBC Panel berates Fox News for dishonest rant: 'Useless Idiots' for Trump (VIDEO),angry,Fake,1,-1,-1.0,17.4,140.6,0.03,0.232,0.032,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.54,0.0,0.0,0.0,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3906911313533783,0.3927099108695984,0.21659895777702332,0.04979311302304268,0.9502068758010864,0.0,0.6792115569114685,9.051922461367212e-06,0.03510142117738724,9.22786693990929e-06,0.263216108083725,1.0680489140213467e-05,0.022441882640123367
26607,opednews,26607,Why Must Kurds Have to Review the Success of America?,angry,Fake,1,-1,11.9,10.2,147.1,-0.072,0.021,-0.055,0.36,0.0,1.04,0.57,0.97,1.95,1.75,1.79,0.49,1.03,1.42,1.35,0.73,0.47,0.0,0.85,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.43134912848472595,0.38815122842788696,0.1804995983839035,0.0,0.06545440107584,0.934545636177063,0.6159264445304871,0.005130916368216276,0.08741606771945953,0.0002867004368454218,0.05848662555217743,0.0008790813153609633,0.23187419772148132
30248,opednews,30248,"Can Democrats Stop Virginia, Alabama Elections From Being Stolen?",angry,Fake,1,-1,-1.2,9.8,153.5,-0.234,0.031,0.019,0.32,0.0,1.41,0.49,0.0,0.0,0.9,1.04,0.0,0.0,0.79,0.0,0.73,0.0,0.33,1.64,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.3287152349948883,0.6712847352027893,0.0,0.11734750866889954,0.8826524615287781,0.0,0.5925750136375427,0.05810477212071419,0.03941883146762848,0.028658831492066383,0.2602590024471283,0.0007416761363856494,0.02024180069565773
25669,opednews,25669,This week Trump Commuted the Sentence of Meat Tycoon Sholom Rubashkin. Here is the Back St,angry,Fake,1,-1,-6.0,-5.9,173.8,0.015,-0.069,0.024,0.0,0.0,0.0,0.15,0.26,0.0,0.0,1.78,0.71,0.18,0.45,3.92,0.0,1.59,0.0,0.96,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5507407188415527,0.26889505982398987,0.1803642213344574,0.07804685831069946,0.0,0.9219531416893005,0.5816854238510132,0.0007261054706759751,0.22640495002269745,0.0006524848286062479,0.15166492760181427,0.0005147596239112318,0.03835131600499153
30198,opednews,30198,Blaming Inequality On Technology: Sloppy Thinking For The Educated,angry,Fake,1,-1,10.2,27.2,150.1,-0.183,0.063,-0.088,0.31,0.0,0.0,0.56,1.39,1.11,1.28,0.78,0.88,1.11,1.39,0.68,1.62,0.06,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4401318430900574,0.42450734972953796,0.13536083698272705,0.04108120873570442,0.0,0.9589188098907471,0.5808225870132446,6.384814332704991e-05,0.21068428456783295,0.012309940531849861,0.025734983384609222,0.0003520979080349207,0.17003223299980164
37824,opednews,37824,Why Not Make the Rich Compete?,angry,Fake,1,-1,10.2,27.2,150.1,-0.183,0.063,-0.088,0.31,0.0,0.0,0.56,1.39,1.11,1.28,0.78,0.88,1.11,1.39,0.68,1.62,0.06,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4401318430900574,0.42450734972953796,0.13536083698272705,0.04108120873570442,0.0,0.9589188098907471,0.5808225870132446,6.384814332704991e-05,0.21068428456783295,0.012309940531849861,0.025734983384609222,0.0003520979080349207,0.17003223299980164
26613,opednews,26613,"Trump: Bannon Has ""Lost His Mind""",angry,Fake,1,75,18.8,14.7,132.9,-0.167,-0.07,-0.005,1.16,0.0,0.0,0.26,0.63,0.42,0.0,0.72,0.8,0.0,0.3,0.4,0.05,0.0,0.07,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.49655237793922424,0.3832845687866211,0.12016305327415466,0.03501168265938759,0.9240155816078186,0.04097277671098709,0.5102481245994568,4.944432134834642e-07,0.0001706817711237818,0.005320657975971699,0.2242797166109085,2.4697235367909798e-09,0.25998035073280334
34764,opednews,34764,The drum of war by Erdogan of Turkey does not Excite Iran and Russia!,angry,Fake,1,111,6.8,8.1,121.0,-0.086,0.0,-0.013,0.12,0.0,0.0,0.93,1.27,2.38,0.63,0.03,0.86,0.31,0.87,0.23,1.47,0.53,0.23,0.12,0.39,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4293258786201477,0.4931717813014984,0.07750234752893448,0.0,0.0,1.0,0.4606119692325592,0.04024435207247734,0.06381528079509735,0.00019514754239935428,0.34513288736343384,0.0028454456478357315,0.08715485036373138
28350,opednews,28350,"Donald Trump Speaks at a Fourth-Grade Level, According to Analysis",angry,Fake,1,129,14.8,19.3,150.2,-0.099,0.073,-0.012,0.0,0.58,1.68,0.0,1.07,2.02,0.92,0.35,0.88,0.57,0.56,1.47,1.33,0.75,0.31,0.1,0.63,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3686980605125427,0.6313019394874573,0.0,0.08012110739946365,0.3458872437477112,0.5739916563034058,0.4493824243545532,0.0007661589188501239,0.2513597905635834,0.03903869539499283,0.1986788511276245,0.0012932618847116828,0.05948077514767647
23722,opednews,23722,Schumer on the march,angry,Fake,1,107,5.7,26.2,127.8,-0.096,-0.042,0.033,1.42,0.56,0.48,0.0,0.59,1.3,0.73,1.11,1.28,0.1,0.21,0.0,0.0,0.0,1.28,0.0,0.25,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.46149206161499023,0.5034691691398621,0.03503868728876114,0.03488561138510704,0.9049219489097595,0.060192499309778214,0.4184301197528839,2.1424978058348643e-06,0.03655145689845085,4.245284124237969e-09,0.5436632037162781,1.384267900306213e-08,0.0013530587311834097
