,screen_name,happy_img_idx,angry_img_idx,person_name,clean_text,binaryLabel,rq,cluster_labels,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,m0_anger,m0_happiness,m0_calm,m1_disgust,m1_sadness,m1_surprise,dpfc_angry,dpfc_disgust,dpfc_fear,dpfc_happy,dpfc_sad,dpfc_surprise,dpfc_neutral
10547,STcom,23160,5058,Angela Merkel,German chancellor #merkel strikes pragmatic tone in push for coalition with spd,Real,2,126,20.6,11.0,146.3,-0.0,-0.087,-0.115,1.87,0.26,0.0,0.0,0.0,1.01,0.06,0.01,0.0,0.19,1.0,0.26,0.87,0.0,0.0,0.63,0.21,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.3556019961833954,0.5080884695053101,0.13630956411361694,0.0,0.8400594592094421,0.15994057059288025,0.8977562189102173,3.8673402968925075e-07,0.03576190397143364,5.6807042710715905e-05,0.024471256881952286,8.129414345603436e-05,0.04187211021780968
9743,STForeignDesk,34236,31435,Angela Merkel,#germany's #merkel in final push for coalition to avert crisis,Real,2,126,4.2,22.5,151.2,-0.074,-0.366,-0.061,0.55,0.0,0.0,0.12,1.06,1.78,0.0,0.56,0.66,0.0,0.0,0.13,0.88,0.11,0.41,0.66,0.25,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5007771849632263,0.3118709921836853,0.18735180795192719,0.036499351263046265,0.8845435380935669,0.07895707339048386,5.291321031108964e-06,5.470708885901843e-10,0.12749500572681427,0.001376579748466611,0.8370945453643799,0.00016295563546009362,0.033865612000226974
35548,SputnikInt,31775,9376,Angela Merkel,"#merkel's party throws support behind grand coalition, but 'not at any price'",Fake,2,126,4.4,8.7,127.6,-0.117,0.057,0.061,0.48,0.0,1.4,0.64,0.05,1.63,0.01,0.29,0.0,0.0,0.66,0.59,1.09,0.07,0.26,0.86,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4455035626888275,0.38259729743003845,0.17189913988113403,0.01425004843622446,0.9158264398574829,0.06992344558238983,0.16352327167987823,0.0011167079210281372,0.012736626900732517,0.008494218811392784,0.3563959300518036,0.006757952738553286,0.45097529888153076
29163,InvestWatchBlog,35283,18242,Angela Merkel,The collapse of germany: angela merkel's failure -,Fake,2,126,-0.1,9.3,140.0,-0.129,0.151,0.015,1.61,1.06,0.0,0.0,0.85,0.0,0.0,0.6,0.25,0.0,0.81,0.35,0.81,0.0,0.0,0.0,0.27,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4521377384662628,0.3754468262195587,0.17241543531417847,0.20989510416984558,0.7089250683784485,0.08117984980344772,1.6318452367158898e-08,3.491777188897851e-17,0.3552001118659973,0.00017800014757085592,0.6427953243255615,1.321412090860008e-09,0.0018265338148921728
34094,Ruptly,35159,28554,Angela Merkel,Merkel’s ‘day of deep reflection’ as coalition talks collapse:,Fake,2,126,24.7,10.8,165.3,-0.164,0.127,0.121,0.49,1.56,0.86,1.15,1.07,3.02,0.17,0.76,1.11,0.87,0.2,0.0,0.0,0.57,1.08,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5106545686721802,0.2562887370586395,0.23305664956569672,0.17620767652988434,0.6442672610282898,0.17952509224414825,0.020303864032030106,0.0003861788136418909,0.4291355013847351,8.55495727591915e-06,0.5258209109306335,2.9908708256698446e-06,0.024341991171240807
9468,ReutersUK,36910,1599,Angela Merkel,"Slowly, germany begins to ponder life after merkel",Real,2,126,5.0,28.4,138.7,-0.122,-0.081,0.079,1.17,0.0,0.0,0.0,1.79,1.4,0.33,1.83,1.41,0.67,0.82,0.0,0.0,0.0,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33127522468566895,0.467131644487381,0.20159320533275604,0.07264762371778488,0.9273524284362793,0.0,0.00022715370869264007,1.464313226229308e-09,0.9655846953392029,4.990473371435655e-06,0.03412551060318947,6.210311198628915e-08,5.7630535593489185e-05
8714,business,3394,24457,Angela Merkel,"Angela merkel’s push to forge a four-party coalition fails, throwing her future into doubt",Real,2,126,8.2,15.0,140.7,-0.005,-0.123,0.112,0.81,0.0,0.0,0.44,0.0,1.22,0.1,0.2,0.0,0.0,1.98,0.0,0.92,0.0,0.0,0.87,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.4234398305416107,0.5650601387023926,0.011500120162963867,0.0,0.7841413021087646,0.21585868299007416,0.033650290220975876,5.16108593728859e-05,0.18005478382110596,0.008770141750574112,0.28710293769836426,0.11388494819402695,0.37648531794548035
7484,STForeignDesk,27988,35916,Angela Merkel,#merkel hemmed in by hardliners challenging her policy positions,Real,2,126,13.8,14.9,131.6,-0.069,-0.132,0.083,1.88,0.0,0.46,0.0,2.34,2.93,1.48,3.25,1.93,2.1,1.58,0.0,2.08,0.0,0.95,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5619548559188843,0.2788589596748352,0.15918613970279694,0.03287925943732262,0.9671207666397095,0.0,0.0018499047728255391,1.5613253481205902e-06,0.00039943060255609453,0.9924123883247375,0.0007342128665186465,0.002676465082913637,0.0019260323606431484
31183,SputnikInt,18242,34089,Angela Merkel,The coal in coalition: #merkel struggles to forge a coalition with greens &amp; #fdp #cdu #csu,Fake,2,126,19.8,16.5,129.4,-0.141,-0.1,0.042,1.68,0.0,0.0,1.92,0.97,0.9,0.0,2.06,0.93,0.0,1.37,0.17,0.72,0.0,0.05,0.27,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386854887008667,0.5550829768180847,0.05806216970086098,0.0,1.0,0.0,0.0042165732011199,1.7256340845338294e-17,0.005965997464954853,7.514721067636287e-10,0.0076977284625172615,2.8753941023751395e-06,0.9821167588233948
5058,ReutersUK,28554,14559,Angela Merkel,Merkel points to grand coalition with social democrats,Real,2,126,2.3,1.9,133.6,-0.051,0.133,-0.042,0.46,0.0,1.18,0.23,0.45,2.13,0.3,1.15,0.0,0.0,0.71,0.89,0.0,0.1,0.4,1.24,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.42837536334991455,0.5479227900505066,0.023701844736933708,0.12745489180088043,0.8389083743095398,0.033636778593063354,0.1464402824640274,1.8199947362518287e-06,0.8213639259338379,0.0007847037049941719,0.013243492692708969,0.01628715544939041,0.0018786428263410926
10507,ChannelNewsAsia,10507,8714,Angela Merkel,"Spurned by trump, europeans ponder how to meet iran ultimatum",Real,2,126,3.8,10.6,144.1,0.079,0.032,0.0,1.91,0.0,3.24,0.0,0.0,3.2,1.25,0.59,0.0,0.71,1.13,0.0,2.04,0.0,0.09,0.17,0.36,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.431545227766037,0.4614233374595642,0.10703147202730179,0.06275374442338943,0.7931586503982544,0.14408761262893677,0.005151609890162945,3.648654819699004e-05,0.001889040693640709,0.015262924134731293,0.036048684269189835,0.02107863314449787,0.9205326437950134
33046,SputnikInt,34404,35159,Angela Merkel,#merkel welcomes new us climate alliance of #paris agreement supporters #climatechange,Fake,2,126,4.0,1.3,132.2,-0.137,0.057,0.062,0.91,0.0,0.62,0.51,0.42,0.7,0.0,0.26,0.0,0.94,0.93,0.53,1.48,0.0,0.0,0.9,0.23,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5702471137046814,0.1368800848722458,0.292872816324234,0.06250853836536407,0.9374914765357971,0.0,8.537949724995997e-06,2.1240940863836988e-12,2.2030183117749402e-06,0.0036350784357637167,0.029113203287124634,1.7237404392744793e-08,0.9672409296035767
32642,RT_com,34089,35283,Angela Merkel,#merkel replaced germany’s slaughtered jews with their 'worst enemies' - karl lagerfeld,Fake,2,126,8.7,10.3,145.8,-0.132,0.063,-0.196,0.38,0.24,0.0,0.47,0.0,0.0,0.0,0.22,0.0,0.0,1.08,1.1,1.25,0.24,0.0,1.16,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.43521934747695923,0.42007043957710266,0.14471018314361572,0.008665420114994049,0.0,0.9913346171379089,0.00027369355666451156,7.162411748140585e-07,0.9203898310661316,0.0030198555905371904,0.025752225890755653,0.01449582539498806,0.036067742854356766
27492,RT_com,23079,34094,Angela Merkel,#merkel starts grand coalition talks as poll shows 52% want her off ballot in 'new election',Fake,2,126,3.7,13.8,156.0,-0.044,-0.183,0.138,1.67,0.0,0.05,0.0,1.84,3.23,1.12,3.29,1.86,2.13,0.81,0.0,0.83,0.0,0.44,0.19,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5438193082809448,0.1597955971956253,0.2963850498199463,0.04044297710061073,0.9595569968223572,0.0,2.1255777138406984e-09,4.721015711208219e-22,3.4417526337607307e-13,0.9999188184738159,3.101904150204504e-11,1.3616796422866173e-05,6.759816460544243e-05
37235,RT_com,33401,10579,Angela Merkel,Germany’s social democrats approve exploratory talks on merkel coalition govt,Fake,2,126,11.0,13.8,139.9,-0.034,0.067,0.133,0.8,0.0,1.48,1.97,1.79,1.32,0.3,0.68,1.41,1.88,0.0,0.0,2.0,0.17,0.49,0.37,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4243563711643219,0.4451114535331726,0.1305321753025055,0.0,0.5587735176086426,0.4412264823913574,8.94933975814638e-07,3.810145254856678e-11,1.3900058775107027e-06,0.9817808866500854,6.327760729618603e-06,3.406245525638951e-07,0.018210137262940407
37246,RT_com,34214,34220,Angela Merkel,Germany’s social democrats approve exploratory talks on #merkel coalition govt,Fake,2,126,11.0,13.8,139.9,-0.034,0.067,0.133,0.8,0.0,1.48,1.97,1.79,1.32,0.3,0.68,1.41,1.88,0.0,0.0,2.0,0.17,0.49,0.37,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4243563711643219,0.4451114535331726,0.1305321753025055,0.0,0.5587735176086426,0.4412264823913574,8.94933975814638e-07,3.810145254856678e-11,1.3900058775107027e-06,0.9817808866500854,6.327760729618603e-06,3.406245525638951e-07,0.018210137262940407
3130,euronews,3912,10507,Angela Merkel,"Migration, brexit top the agenda eu summit",Real,2,126,14.7,16.6,159.8,0.006,0.321,-0.013,0.6,0.0,1.48,0.0,0.6,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.44,0.06,0.06,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43021702766418457,0.2592701017856598,0.31051284074783325,0.011044539511203766,0.6502223014831543,0.33873316645622253,0.0001392019767081365,2.682090660677261e-10,0.12825646996498108,4.868828546022996e-05,0.871223509311676,1.5225106835714541e-05,0.000316824036417529
34089,InvestWatchBlog,34220,7303,Angela Merkel,Talks collapse – germany’s merkel to announce: “inability to form government”… -,Fake,2,126,-3.4,30.6,129.3,-0.039,0.267,-0.14,0.3,0.39,1.27,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,1.61,2.58,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4395196735858917,0.30065619945526123,0.25982412695884705,0.0,0.0,1.0,0.035670146346092224,0.00011327608081046492,0.1990462690591812,0.012829643674194813,0.15686921775341034,0.0077602071687579155,0.5877112150192261
2609,business,27197,31183,Angela Merkel,How angela merkel will scrape together one more government via @bv,Real,2,126,-2.6,17.1,143.2,-0.144,-0.164,0.035,0.8,0.0,0.0,1.12,1.38,2.62,1.12,0.45,0.47,1.09,1.09,0.03,0.97,0.0,0.74,0.91,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3488720655441284,0.4997325539588928,0.15139535069465637,0.015457652509212494,0.5540992617607117,0.43044307827949524,0.20208027958869934,0.006930310744792223,0.27256956696510315,0.0023341081105172634,0.19007378816604614,0.31424906849861145,0.011762899346649647
1599,euronews,8714,27988,Angela Merkel,German 'grand coalition' plan gathers pace,Real,2,126,0.2,15.4,140.3,0.024,0.082,-0.027,0.57,0.0,0.83,1.22,0.11,2.07,0.0,0.87,0.0,1.04,0.52,0.0,0.9,0.05,0.15,0.48,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4183712303638458,0.4774092733860016,0.1042194813489914,0.00037233540206216276,0.771122932434082,0.2285047471523285,0.0589444637298584,7.464925033673353e-08,0.00010000626207329333,3.2235669777946896e-07,0.007019142620265484,4.2210790525132325e-06,0.9339317679405212
